#,tabela,coluna,tipo_dado,aceita_nulo,valor_padrao,chave_primaria
1,ACOLHIMENTO_CLEAN,ID_ATEND,INTEGER,SIM,,NÃO
2,ACOLHIMENTO_CLEAN,DS_COR_RISCO,TEXT,SIM,,NÃO
3,ACOLHIMENTO_CLEAN,DS_CLASSIF_RISCO,TEXT,SIM,,NÃO
4,ACOLHIMENTO_CLEAN,DS_SINTOMA,TEXT,SIM,,NÃO
5,ATENDIMENTO_CLEAN,ID_ATEND,INTEGER,SIM,,NÃO
6,ATENDIMENTO_CLEAN,ID_PACIEN,INTEGER,SIM,,NÃO
7,ATENDIMENTO_CLEAN,DS_TIPO_ATEND,TEXT,SIM,,NÃO
8,ATENDIMENTO_CLEAN,DS_ESPECI,TEXT,SIM,,NÃO
9,ATENDIMENTO_CLEAN,DT_MOMENT_INIC,TIMESTAMP,SIM,,NÃO
10,ATENDIMENTO_CLEAN,DT_MOMENT_FIM,TIMESTAMP,SIM,,NÃO
11,ATENDIMENTO_CLEAN,TEMPO_INTERNACAO_DIAS,REAL,SIM,,NÃO
12,DIAGNOSTICO_CLEAN,ID_ATEND,INTEGER,SIM,,NÃO
13,DIAGNOSTICO_CLEAN,CD_DIAG,TEXT,SIM,,NÃO
14,DIAGNOSTICO_CLEAN,FL_DIAGN_PRINCIPAL,TEXT,SIM,,NÃO
15,EXAME_CLEAN,ID_ATEND,INTEGER,SIM,,NÃO
16,EXAME_CLEAN,DS_CAMPO,TEXT,SIM,,NÃO
17,EXAME_CLEAN,VALOR_RESULTADO,REAL,SIM,,NÃO
18,MODEL_DATASET,ID_ATEND,INTEGER,SIM,,NÃO
19,MODEL_DATASET,ID_PACIEN,INTEGER,SIM,,NÃO
20,MODEL_DATASET,NU_IDADE,INTEGER,SIM,,NÃO
21,MODEL_DATASET,IN_SEXO,TEXT,SIM,,NÃO
22,MODEL_DATASET,NM_MUNIC,TEXT,SIM,,NÃO
23,MODEL_DATASET,DS_RACA,TEXT,SIM,,NÃO
24,MODEL_DATASET,DS_TIPO_ATEND,TEXT,SIM,,NÃO
25,MODEL_DATASET,DS_ESPECI,TEXT,SIM,,NÃO
26,MODEL_DATASET,TEMPO_INTERNACAO_DIAS,REAL,SIM,,NÃO
27,MODEL_DATASET,DS_COR_RISCO,TEXT,SIM,,NÃO
28,MODEL_DATASET,DS_CLASSIF_RISCO,TEXT,SIM,,NÃO
29,MODEL_DATASET,EXAME_HBA1C,REAL,SIM,,NÃO
30,MODEL_DATASET,MED_METFORMINA,INTEGER,SIM,,NÃO
31,MODEL_DATASET,MED_INSULINA_NPH,INTEGER,SIM,,NÃO
32,MODEL_DATASET,MED_INSULINA_REGULAR,INTEGER,SIM,,NÃO
33,MODEL_DATASET,MED_GLIBENCLAMIDA,INTEGER,SIM,,NÃO
34,MODEL_DATASET,IS_RENAL,INTEGER,SIM,,NÃO
35,MODEL_DATASET,IS_CARDIOVASCULAR,INTEGER,SIM,,NÃO
36,MODEL_DATASET,FL_OBITO,INTEGER,SIM,,NÃO
37,PACIENTE_CLEAN,ID_PACIEN,INTEGER,SIM,,NÃO
38,PACIENTE_CLEAN,NU_IDADE,INTEGER,SIM,,NÃO
39,PACIENTE_CLEAN,IN_SEXO,TEXT,SIM,,NÃO
40,PACIENTE_CLEAN,NM_MUNIC,TEXT,SIM,,NÃO
41,PACIENTE_CLEAN,DS_RACA,TEXT,SIM,,NÃO
42,PACIENTE_CLEAN,FL_OBITO,INTEGER,SIM,,NÃO
43,PRESCRICAO_CLEAN,ID_ATEND,INTEGER,SIM,,NÃO
44,PRESCRICAO_CLEAN,NM_MEDTO,TEXT,SIM,,NÃO
45,PRESCRICAO_CLEAN,DS_DOSE_MEDTO,TEXT,SIM,,NÃO
46,PRESCRICAO_CLEAN,DS_VIA_ADMIN_MEDTO,TEXT,SIM,,NÃO
